"X","Area","Perim.","Major","Minor","Predicted_Brand"
23573,448975.526,2510.755,804.477,710.59,"H335"
23360,297385.725,2059.572,645.773,586.341,"H335"
23370,291641.795,2012.318,650.715,570.649,"H335"
23664,259076.21,1898.236,582.593,566.204,"BL-C(2)"
23942,362516.895,2241.902,688.179,670.713,"H335"
23757,294888.364,2018.883,621.316,604.304,"BL-C(2)"
23909,310272.107,2096.416,671.29,588.495,"H335"
23576,473499.609,2576.284,817.368,737.585,"H335"
23545,398678.68,2372.25,755.885,671.549,"H335"
23850,306076.541,2072.997,650.286,599.288,"H335"
23256,254181.383,1888.241,592.195,546.498,"BL-C(2)"
24021,444630.118,2480.771,758.36,746.506,"BL-C(2)"
23454,340290.384,2201.923,692.426,625.73,"H335"
23297,293240.106,2004.748,617.039,605.091,"BL-C(2)"
23473,374554.174,2279.456,699.77,681.505,"BL-C(2)"
23945,352227.768,2209.493,692.817,647.315,"H335"
23629,234402.286,1800.004,553.828,538.886,"BL-C(2)"
23746,283899.977,1984.759,619.168,583.804,"BL-C(2)"
23803,311420.893,2080.566,636.147,623.305,"BL-C(2)"
23246,234951.705,1811.713,583.056,513.072,"H335"
23704,276357.947,1958.204,602.456,584.059,"BL-C(2)"
23467,340640.014,2175.369,697.527,621.791,"H335"
23784,293689.631,2014.743,631.431,592.206,"H335"
23223,238947.482,1825.848,555.834,547.353,"BL-C(2)"
23867,327803.58,2131.25,656.139,636.103,"BL-C(2)"
23479,373005.81,2286.021,705.604,673.077,"BL-C(2)"
23795,305627.016,2067.142,633.41,614.352,"BL-C(2)"
23683,255030.486,1887.531,593.629,547,"BL-C(2)"
23732,280004.094,1971.629,612.694,581.877,"BL-C(2)"
23486,383544.673,2317.426,710.965,686.876,"H335"
23710,270963.648,1944.78,606.213,569.11,"BL-C(2)"
23582,532037.747,2734.485,831.46,814.726,"Bullseye"
23463,354825.024,2240.187,695.288,649.77,"H335"
23274,282751.191,1973.049,604.801,595.254,"BL-C(2)"
23490,349730.408,2220.198,714.338,623.361,"H335"
23765,295637.573,2030.593,623.683,603.54,"BL-C(2)"
23510,402974.14,2377.394,728.537,704.265,"H335"
23505,400227.043,2355.984,723.937,703.908,"H335"
23562,450074.365,2517.32,780.97,733.771,"BL-C(2)"
23830,310821.526,2076.426,644.91,613.652,"BL-C(2)"
23522,404922.082,2388.393,736.799,699.733,"H335"
23554,449275.21,2503.186,763.139,749.582,"BL-C(2)"
23238,245490.568,1843.118,571.13,547.28,"BL-C(2)"
23311,273311.167,1985.763,623.495,558.129,"H335"
23822,304977.702,2063.002,642.823,604.069,"H335"
24051,559858.346,2832.717,890.08,800.865,"Bullseye"
23799,311770.523,2078.851,635.696,624.447,"BL-C(2)"
23476,372756.074,2270.882,704.274,673.896,"BL-C(2)"
23190,172517.685,1556.285,476.158,461.309,"H335"
23327,293789.526,2030.593,630.222,593.544,"BL-C(2)"
23255,262073.043,1908.231,591.48,564.147,"BL-C(2)"
23687,271213.384,1941.645,595.112,580.259,"BL-C(2)"
23613,224412.842,1767.594,540.598,528.547,"BL-C(2)"
23569,438037.086,2483.196,794.002,702.424,"H335"
23530,406720.181,2391.823,743.106,696.875,"H335"
23458,341638.959,2190.214,693.553,627.188,"H335"
23509,385093.037,2321.86,727.857,673.643,"H335"
24006,418208.041,2447.357,741.718,717.9,"H335"
23431,338542.231,2186.074,681.293,632.687,"H335"
23210,213624.244,1721.761,532.09,511.182,"BL-C(2)"
23196,197341.451,1655.227,504.966,497.583,"BL-C(2)"
23651,248886.978,1867.542,576.072,550.092,"BL-C(2)"
23848,321510.231,2149.525,649.844,629.935,"BL-C(2)"
23201,203534.906,1681.072,519.775,498.579,"BL-C(2)"
24041,465208.371,2564.869,799.931,740.466,"H335"
23586,505016.303,2719.346,890.279,722.253,"Bullseye"
23865,303828.916,2063.002,655.277,590.357,"H335"
23287,269714.967,1929.935,612.414,560.751,"H335"
